SalePrice,Id
136340.53125,1461
170069.03125,1462
185619.640625,1463
201083.96875,1464
182475.4375,1465
179806.53125,1466
192065.09375,1467
173557.21875,1468
185577.46875,1469
123001.125,1470
206685.984375,1471
110678.953125,1472
109678.234375,1473
148639.75,1474
122976.2421875,1475
329582.40625,1476
249983.109375,1477
285100.5625,1478
274503.59375,1479
446248.65625,1480
322528.90625,1481
199900.3125,1482
176092.734375,1483
167645.234375,1484
178769.75,1485
209464.5625,1486
311439.28125,1487
249138.78125,1488
194823.125,1489
240934.53125,1490
211876.8125,1491
96424.3671875,1492
200083.921875,1493
267933.5,1494
291802.375,1495
228292.828125,1496
195252.890625,1497
166420.75,1498
172074.609375,1499
160106.296875,1500
178061.046875,1501
150062.890625,1502
310550.3125,1503
258498.828125,1504
225919.796875,1505
189070.34375,1506
268189.46875,1507
203093.234375,1508
167870.875,1509
149562.71875,1510
144476.296875,1511
175129.609375,1512
151640.453125,1513
153308.328125,1514
223490.59375,1515
154867.359375,1516
178286.0625,1517
117177.5234375,1518
233097.609375,1519
134844.625,1520
130657.2890625,1521
172876.328125,1522
113014.9375,1523
118988.6796875,1524
120402.0625,1525
110755.9375,1526
97339.1640625,1527
161979.109375,1528
139843.15625,1529
212389.515625,1530
138854.0,1531
115861.421875,1532
146068.953125,1533
132363.734375,1534
168552.890625,1535
120855.0625,1536
67015.96875,1537
187579.25,1538
207040.9375,1539
111625.5390625,1540
157828.1875,1541
155201.25,1542
196202.640625,1543
104210.4765625,1544
136134.765625,1545
128697.0078125,1546
143063.65625,1547
147105.296875,1548
128254.5625,1549
139210.125,1550
133887.96875,1551
125257.484375,1552
148865.53125,1553
141087.046875,1554
167546.375,1555
85827.265625,1556
115590.15625,1557
105358.5859375,1558
86389.25,1559
136705.96875,1560
123086.515625,1561
130079.75,1562
125925.734375,1563
162369.515625,1564
131819.328125,1565
261944.328125,1566
81569.703125,1567
223733.703125,1568
137578.640625,1569
137150.96875,1570
119752.640625,1571
148504.75,1572
271684.5,1573
133065.609375,1574
246406.609375,1575
240896.546875,1576
198646.03125,1577
140276.875,1578
142325.015625,1579
210240.078125,1580
157318.875,1581
129154.921875,1582
327261.90625,1583
225374.375,1584
146299.984375,1585
76539.2109375,1586
103957.4453125,1587
144602.171875,1588
111760.296875,1589
140175.953125,1590
82733.125,1591
129350.578125,1592
131605.984375,1593
141643.359375,1594
125207.1953125,1595
225037.296875,1596
162808.640625,1597
193238.78125,1598
186648.875,1599
166434.859375,1600
81011.0390625,1601
125960.5546875,1602
87883.0234375,1603
265328.5625,1604
275196.6875,1605
161539.34375,1606
152847.703125,1607
210997.515625,1608
191465.109375,1609
165536.5625,1610
145291.96875,1611
174276.921875,1612
170265.328125,1613
133268.0625,1614
106051.8671875,1615
87566.53125,1616
106965.984375,1617
126591.5546875,1618
146888.40625,1619
147715.203125,1620
150489.25,1621
135676.796875,1622
281685.90625,1623
236519.09375,1624
120082.171875,1625
180097.71875,1626
200216.421875,1627
289981.3125,1628
185484.9375,1629
369633.65625,1630
208688.765625,1631
236705.59375,1632
169709.84375,1633
192987.78125,1634
182023.625,1635
162281.0625,1636
201959.109375,1637
211436.3125,1638
185798.5625,1639
269848.9375,1640
185833.796875,1641
234180.359375,1642
238136.09375,1643
241356.765625,1644
231358.46875,1645
166551.28125,1646
165562.609375,1647
135534.703125,1648
143650.140625,1649
129907.1875,1650
125224.1640625,1651
108578.2890625,1652
115569.5390625,1653
150107.796875,1654
149126.25,1655
142881.859375,1656
150051.234375,1657
142222.046875,1658
129764.8203125,1659
152495.40625,1660
420423.09375,1661
377728.78125,1662
355782.6875,1663
464004.09375,1664
